what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668614976909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1668614978880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1668614982142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615012425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615023214
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1668615027709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1668615033873
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1668615036074
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1668615040494
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1668615042173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1668615049933
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1668615061893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1668615065623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1668615074723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1668615076679
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1668615082331
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1668615097009
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1668615113793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1668615116731
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1668615118644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1668615122442
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1668615124547
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1668615134171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1668615138824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615164780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615235326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615296178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615368639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1668615380199
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1668615382566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615382888
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1668615385028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615385224
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1668615388282
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1668615390059
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1668615392191
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1668615399610
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1668615399613
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1668615401208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615401498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615403748
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1668615408968
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1668615411518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615411839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615417408
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1668615418514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615420538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615426729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1668615426729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615427069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615427359
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1668615432129
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1668615438228
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1668615438253
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1668615439368
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1668615449836
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1668615453380
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1668615454411
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1668615470022
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1668615474268
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1668615475960
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1668615479280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615479616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615483156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615483170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615485298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615519050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615593240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615617584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615624360
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1668615632388
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1668615635256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668615637663
